month,ratio_quantity.00C,ratio_quantity.00D,ratio_quantity.00J,ratio_quantity.00K,ratio_quantity.00L,ratio_quantity.00M,ratio_quantity.00N,ratio_quantity.00P,ratio_quantity.00Q,ratio_quantity.00R,ratio_quantity.00T,ratio_quantity.00V,ratio_quantity.00X,ratio_quantity.00Y,ratio_quantity.01A,ratio_quantity.01C,ratio_quantity.01D,ratio_quantity.01E,ratio_quantity.01F,ratio_quantity.01G,ratio_quantity.01H,ratio_quantity.01J,ratio_quantity.01K,ratio_quantity.01R,ratio_quantity.01T,ratio_quantity.01V,ratio_quantity.01W,ratio_quantity.01X,ratio_quantity.01Y,ratio_quantity.02A,ratio_quantity.02D,ratio_quantity.02E,ratio_quantity.02F,ratio_quantity.02G,ratio_quantity.02H,ratio_quantity.02M,ratio_quantity.02N,ratio_quantity.02P,ratio_quantity.02Q,ratio_quantity.02R,ratio_quantity.02T,ratio_quantity.02W,ratio_quantity.02X,ratio_quantity.02Y,ratio_quantity.03A,ratio_quantity.03D,ratio_quantity.03E,ratio_quantity.03F,ratio_quantity.03H,ratio_quantity.03J,ratio_quantity.03K,ratio_quantity.03L,ratio_quantity.03M,ratio_quantity.03N,ratio_quantity.03Q,ratio_quantity.03R,ratio_quantity.03T,ratio_quantity.03V,ratio_quantity.03W,ratio_quantity.04C,ratio_quantity.04D,ratio_quantity.04E,ratio_quantity.04F,ratio_quantity.04G
1448928000,47356.44579155981,64296.5471110478,49627.07982499096,64469.79923225874,52574.152278341186,66807.16598471237,56120.7591039662,53072.51517691136,50945.89398212212,72913.97954196342,51918.09578424676,48013.49881026923,44714.29696797009,49046.34941813356,49881.35509449486,38851.64137060153,66944.99821812758,39194.163871303615,59486.45438871957,54403.90810151631,44586.30495501753,55212.47913779833,45469.97185347608,54755.61377287097,53841.804412163816,45676.10613036104,40619.88144333264,62632.486075275396,56119.615113796135,41780.83569867626,53366.99010397577,41862.57948930889,48137.57811987955,49449.55432899274,54059.27245074919,65260.74835875879,39941.811269191596,58038.51731906505,54589.27596621001,44655.36998206691,38942.968620974396,22423.907224541526,63358.602027338835,59398.93398555726,36272.80874620787,51969.90189721172,38940.473997515044,54725.23036141107,37646.313016192515,45498.35199528538,59152.96970262173,49060.335605663335,60014.634125836514,35105.52685454827,37317.694007893384,63480.75134585575,75588.25243469168,55050.112540192924,32382.774140193134,23346.953714112646,57278.66368892568,60106.70507289615,32599.613995836928,38170.06977226708
1451606400,40603.312444046554,57391.37364830852,42998.15536763088,56576.102736847766,44926.42832334808,59371.58599245143,49615.18777365576,45048.74940577847,45273.45037349523,63745.25758669679,45589.43653816246,40605.00976967553,38922.61578862271,42618.41044611085,42030.177561516946,34164.484813720155,57485.24763186365,33290.97205882352,51410.72795932968,46629.053506723096,39668.30141916208,49559.18209429695,39847.102309773974,46614.47770209983,46693.2038960535,40074.057621013,34362.63177299319,54115.18467894274,48311.06890538915,36548.337569137104,47898.14759514887,37409.79071815686,42319.49330047744,43328.31755033618,46894.558963058655,56626.27538516958,34313.93415132666,50759.40163092109,48765.39793536881,39742.08754635745,34237.61497757764,20095.689273682412,55907.70578601757,52905.40292444625,32556.32269877469,44060.92069470601,33941.57286647193,49455.433636652124,34784.42247350661,39670.38104201608,52572.786234667015,41069.447800160655,51203.405061692014,30628.74873382771,33582.09341279155,56229.206933748945,63686.70820133468,48982.64461706842,29188.12022788128,21213.165884766135,50964.33906281971,52064.510303579125,29211.80195829032,33392.94004417038
1454284800,42270.983475082074,57383.63424921456,44260.61630390401,57024.67128004226,44547.18651930684,58611.757626176746,48847.3262908836,45935.01382115253,44860.41824474718,64694.25029694669,47056.2260729731,41199.88606209616,39098.680285687224,42183.20029754126,42735.988326183906,33436.438321536916,57988.90779879854,34189.46323529411,52663.15287530477,46668.40760059895,38954.26227028897,48953.07306073917,40199.9008118541,47410.5640008202,47847.92068193871,38130.63670653991,35521.03669578099,55296.226559980314,50105.976111925214,37353.07804067209,47421.42836500949,35820.848497840074,42122.523486831975,43523.14393736737,47784.89005368285,57657.1426884216,33320.149466237206,50639.20462315718,48308.841026896145,40299.20053324591,34675.59999266345,20318.97668874551,56070.40847153104,52028.389828820975,31772.95442098466,45495.64692753017,35515.05020248438,47441.91582136607,34262.49600378898,40966.35199722381,52723.50487628887,42260.28903787924,51787.99090411422,30751.740626937346,33028.829149622245,54964.36845038864,65913.18911422981,46468.7167988041,28048.393026882284,20897.429882816454,51075.99754450583,52911.24443227647,28091.092492045987,33137.28602720219
1456790400,43088.02409728439,59758.09192369776,46836.76191149219,60840.54438736084,48928.45836589388,62595.55709361442,53844.04724399321,49159.23270595276,49126.842129796874,62489.82509257751,48931.642076493685,42779.57800998455,41248.97885223326,44401.79980297941,45259.48550910216,35787.743447149405,59888.6294273376,35753.42852941176,55632.1317325663,49647.989544794706,42665.006759384414,53316.104289753996,42808.45903512263,49376.162001296805,48405.17339507691,41358.81640268478,37018.27969969951,57910.025647720104,52581.13349651668,38619.6219597466,50556.18287079404,40054.574050169846,44748.67087632835,45213.9880156225,50894.059035686565,58124.16780342624,37528.18976263851,54669.33954338899,52874.58126098093,42590.606799194546,36999.67902570545,21146.22180665792,59146.15235399809,56012.24643404728,35049.645855301336,48354.57696868243,35120.34208388374,51690.218737525196,36930.46119235094,42577.69008722902,56993.06356632447,44476.551628251866,54280.61902556114,31830.411849001113,35498.90668975968,58361.926220075264,72781.92485532675,49350.927631403334,30396.09576232751,23122.736550295493,54240.75246402019,56110.85377025703,29706.332662718134,35038.80797359435
1459468800,46959.223951739026,62244.1991651676,46644.01729068088,60958.88905084253,48283.85592602813,63429.65674745202,51955.50064226074,50008.65970884218,48631.790577255015,69559.84601855467,49185.96558418402,45594.13176700734,42720.18518003615,45211.248851679054,45926.56016404139,36152.114752349466,61871.09564164649,36534.19516394084,55453.46474543708,49686.450589525535,42767.853250213826,54194.067229372245,44171.32669313513,48139.17559969706,50297.65928685537,43159.001284132486,37967.82335411163,59276.54957990926,53053.170849263115,38898.991335128376,51316.02802525733,39299.43821269789,45403.70614009777,46284.16688191963,51660.42701107692,60718.17021729112,38007.60097114385,55068.74422305164,52588.84204467159,42809.186718399775,37817.502676879994,21156.991201087345,60682.369567702845,57914.80590577305,34686.22733085211,48485.01401536812,39944.46490575397,54235.62231116408,37448.7863928174,44077.88367674688,58677.88642101711,47294.41199824235,59661.39098820085,33961.946766731475,35369.88392549108,60761.11896130084,71868.08400219453,47439.83948337031,30889.527185955332,22659.612888176718,54498.888747134784,57547.18916959543,30491.883206864735,35240.606431585795
1462060800,40809.16530125864,58338.84720900673,45047.925786950196,58276.67054225466,46607.09244312422,61002.18972628423,49907.50481695567,47964.175187829554,46664.39854015447,67244.1050847655,47687.065081021115,42081.464987224535,40618.28889197829,43135.87944335016,43389.6837676258,35352.03570978286,59994.214303259985,33735.302547147665,54160.70854947167,47283.667846856195,41650.4904730587,50351.32330142482,41293.29584275888,48406.99015385635,49417.20705512544,41140.107737907754,36226.6442616764,56321.60365732053,50509.151063621204,37622.94031052617,47514.95641476612,37700.82872928178,44232.33120597658,45735.51317793552,49811.16748289019,57360.244230973716,36155.1794340052,52015.02611083159,50289.340566375075,40395.08265446506,36017.86645800731,20279.12404320767,57421.04669774772,53925.51685467817,33279.60072884452,45308.0103755561,34308.513764880954,49823.15711487691,35881.95437424491,41157.82521071912,54594.394001093664,43261.32748479404,53082.39635757687,31539.3660241201,34605.24630548895,55213.68471779481,69304.97774978157,48376.4633190268,29091.119450857645,21510.306332528755,52202.0752799289,55670.159650754125,28715.48200146639,34104.59201751826
1464739200,48371.300364936316,59961.48137601489,46718.02305686337,61431.39938103583,47640.505424789386,62701.73875992775,53205.81245985869,50876.31216515612,49414.65366443313,68836.38539622269,49043.374361141556,44510.57399792399,40867.04518281661,44400.35278024046,45123.685338801384,36245.8248067579,62274.791206091875,36198.22364817279,56526.48222862633,50536.834435729004,42899.36950205483,52410.853163373285,43392.88444670145,49046.51349214686,50650.01713978952,41776.50118317868,37106.80543445726,58614.532633096904,53776.64240433943,38712.36212117398,48624.44136897039,40701.64676228212,45026.7046744144,48533.50286360681,51694.174790279445,60366.61940377865,37628.08097923674,55784.078827801095,50897.2003942124,43605.47661962252,38865.46184187648,21067.556334501747,61286.957405454894,59747.801526211006,34613.28731753353,47104.32872662362,37959.760664682544,51943.70058758403,37678.593087437555,42992.150647115006,56293.16420202678,46934.87422813929,58708.33936476409,32706.18236374312,36113.31506630589,62286.33145648871,72802.18052140695,49530.56194108189,31029.496691820197,23075.62701567921,54175.83595932792,57420.002311494936,29982.047773907114,36311.24817643396
1467331200,45244.956568643844,59305.342109185156,45506.22511078284,60085.24880533474,47761.87996556996,63617.086881002644,51963.6344407197,48653.54758752782,46312.73941809668,68095.28583880531,48020.250563702495,43614.64754828088,40299.57272299038,43916.6677853958,43919.29552032716,35136.403023108505,57979.811457452866,34349.296394880024,56473.798047402684,47470.61111637156,42366.130850266614,51764.74437954055,42140.34913879861,48388.37092731829,48758.56194704563,41106.89774864589,36862.920076050075,59259.50339015042,52550.93000599214,38650.06487174229,47399.15943834765,39577.17972974226,43931.98297604039,47204.494531993834,50712.71780409852,60914.4391591223,36574.52892103038,53335.732180786916,49616.680280148066,42243.46170053232,35141.50455614681,19964.108673921917,58386.1843189453,55342.31965322517,32460.955441074933,46736.45741190892,36341.686699214406,52608.164144294424,37285.54887289258,42625.33606124191,56682.232423711306,44554.59287619838,53440.58793365779,31989.775712749208,36089.400409610134,58341.34408987818,71246.37518048052,48748.86330554452,29611.262972838518,21883.468166272047,53999.2923382457,56408.82372982634,29626.4798761394,35055.11268284937
1470009600,45087.363986384684,60776.4972150881,48309.77252584934,60187.77766865017,48866.99765306186,64280.02043457529,52188.147782556596,49279.132925386584,47036.21021285469,68789.08966238596,49717.91899142512,44466.346269577196,39892.647621158794,44438.42770612584,43632.841286279516,35140.7873041048,61563.65165341292,35343.6054135515,55351.221908387575,49999.40573809298,43486.68892095599,52436.28362458276,43801.45291428242,50098.73695227079,50860.51623076575,42424.51949855102,37467.79130355787,58464.35418781789,52291.252848308955,39162.55728593372,46820.20031628888,39599.819611771134,45813.44346876635,47646.28184479583,50352.89913363479,61347.0945810366,36976.31479307864,54934.37332233691,52173.00620427174,42849.83792208114,38010.31264987324,20236.78884680904,60856.815617671295,55990.6196479228,34153.204059204916,45578.38033613564,37785.10074099775,52380.734921094256,37457.246874408025,41722.339373453135,57141.291887688196,44902.52216097362,56318.15835708102,32630.007765096492,36041.07384122324,58136.51881935514,72301.85509644555,49940.71390763529,29463.90110518233,22494.44528767734,54578.325221823536,57879.53464967685,30006.48977940818,34874.509261173174
1472688000,47753.00671465506,61267.71020279426,47858.94278680453,61465.15147102154,49373.00160384425,64285.520400517664,54879.012005409815,50622.00870348986,50521.65857502056,70559.29920390494,50155.782353231625,43967.28776552623,42090.005818947604,45972.779482507874,45134.8361347885,37151.28646515834,62373.45871211468,36553.49664344152,57235.54663514675,50653.52031057667,43875.15095963881,53705.2535342627,43529.77548379675,47872.490016249416,52810.13203047753,43084.10248544973,38485.46256221246,59962.847114163116,54308.21535865257,37933.62051286345,50368.18421430968,39402.0728416015,45984.94755943776,49069.613190841854,53860.715529543035,60912.93953093094,37837.05716052655,55831.16504703292,51692.335030673785,43352.318200690315,38970.2090574828,20564.20616931112,60437.559738860364,57849.08812534795,35405.36811056595,47442.050385518174,37809.42293871281,53862.54932670533,37053.80517143399,44398.00294069938,57387.81516604181,45922.921404463705,56463.71438899117,32533.32798102395,36546.69069865092,62069.78004999363,73013.56321279668,51011.63093820298,29935.79264468247,22978.11152935463,55610.69598458953,58297.40173287697,30859.25739432445,35726.396904853915
1475280000,44205.694195120595,58913.111396889355,45730.32361733048,58729.4518506476,45290.15402051131,62078.32430186339,49942.37285962474,47809.25648175531,46020.78655267352,67281.34231153909,45540.05089417135,43319.94906638282,38974.2104883743,41998.18903806261,42222.48591352858,36261.830713422,59058.74837232468,34063.18818230772,55017.53618625653,47342.866020477,42770.16951504732,50854.83811115342,42034.76849801256,48013.75052369296,47669.30629034137,38816.15969735427,35780.93739955388,56608.57602516891,50421.666931673164,37965.633897169646,46456.9972578573,39019.35459926886,44095.3007215473,45608.3747085936,49614.0239918137,56684.67755265893,35568.95056703079,52491.041483475856,48464.047697682916,41055.94754372647,35718.89281765937,20753.43660682859,57667.76153173367,56416.06100677081,33301.46476778769,44678.00448617922,34360.320933172996,51342.03530180866,35447.83797864027,40473.36026752772,55143.23065669701,43684.73960796072,53311.93757515114,31067.113107120214,35846.78566225101,56476.26443362256,71470.75366998342,49790.12094906641,27762.06252028123,21551.250566253573,52262.30934126581,56157.344453589016,29019.39487054141,33772.63856903767
1477958400,46499.68375917332,60074.74097978795,47302.19801426485,60487.34955020864,49311.877353349184,62648.285610160674,51735.074909128205,48909.224442660554,46898.59324735544,68720.92782545996,51180.41252728943,43516.25498642103,40239.5324205775,44529.76713976809,42786.20458258617,35026.369528415955,63723.053125573475,35199.13986390563,57966.87527355659,48473.80771941527,42811.40250607932,52589.45209687524,42179.33704549505,48544.617538753264,49767.874374264306,41482.48955209403,36890.84580894218,57911.514476728444,53355.60284902375,37142.627700552664,46929.80594067001,39497.35150030618,43950.5601788884,47270.3859911377,52191.957533503526,60242.6838339473,34983.0099017399,54041.62432203191,50418.87656660119,42482.51539140807,34834.63348226115,20749.646744104186,59730.15331279865,55779.036180514835,34004.21891852143,47101.18632969239,36068.648584993374,55369.26992536503,36495.01527386394,42696.33981044885,58171.50810421699,45509.825508309405,53827.07795538438,32450.60939249327,35791.863810239374,60907.24129843971,72449.0532477173,49002.14902936389,28708.626099049685,22849.147266418822,53917.49734707881,57334.78819267887,29864.81812944114,34863.59214936524
1480550400,48022.34520476593,63489.021841235946,49166.89115477471,63160.90236004985,52870.70055489496,66943.94893785146,55260.702998288354,52051.07883729769,48686.455296333865,71483.92401088552,49690.846280240636,46176.02041323876,42830.331109669336,46023.62104455358,51531.8405525669,36107.202902055615,62346.161745042664,36669.686101728104,58243.727741132934,50171.36423575063,45247.01888078312,56086.954769423595,43909.84324936868,50835.21146170976,52054.12241782974,43668.987705017425,37449.31022951225,60908.09026696016,54937.136176649234,40450.32553173673,49849.4256840975,40738.665126463646,45715.02186157664,48838.948801452156,53048.93855334053,59803.20440162465,38269.22382728437,57302.17572310112,51313.32979888404,42610.83868069217,37047.96526235964,20013.2333685322,61607.888732555046,59460.96567540608,35825.12497140244,47555.193936691925,39894.37393859008,54652.600478045315,38773.97641431245,43357.56189718604,60673.54774289431,48564.565692911536,59325.848629831744,33560.76020311949,37556.249410783304,61054.16474678219,76261.87902339298,49754.29607378687,31026.65391331223,22792.338937240143,56987.10126274789,59833.67581763759,32212.06410950295,36522.34739912887
1483228800,42024.94819495424,57875.61218032493,45227.69057553478,57964.402955838086,45060.97117294377,60945.20626575097,50960.76487705049,49210.75432028767,46235.03111249517,66502.39445421717,47582.44335934944,42280.00867133561,38581.42980921528,43811.556703488845,41040.52094195114,34141.81382703888,59151.76772769153,33649.70562661214,55484.1067128813,46848.180356319535,41852.39585397264,50641.93746783955,42471.65710496151,45550.77997952177,47481.67154458937,38340.74883649649,35282.62167994849,56563.688953414334,50724.13671054986,37259.54699168957,44710.77957834365,38816.47583608755,42444.853810794164,44150.38500640941,49950.53621900243,61629.48792817663,32986.95484758771,52865.58515721513,48111.187396236855,39456.637466015134,35962.88857093384,19254.594976223932,55833.47961146674,54135.45212492581,32205.273774747784,43800.08565638556,34173.622015628374,52876.571668461,35754.74440979639,40395.50555358746,55680.67907995618,43897.9201264109,53722.320761840834,30911.9421270098,34357.263169279475,55412.21283950619,69945.83204375127,49381.9945143637,27903.249022614847,21621.79105822966,50413.11914126034,55362.534190800325,29166.545891204903,33795.63242440904
